ID;Überschrift;Kurztext;Text;Linien;Startdatum;Enddatum;Quelle;Anhänge;Links;Bild;Kategorien;Nachrichtentypen;Zeitstempel;Betroffene Haltestellen;Aktualisierungszeit
023dd9c2-41b9-485f-b5e5-902f0efc96ed;RB 64 (Teckbahn) verkehrt mit geringerer Kapazität;Die Teckbahn verkehrt zwischen Kirchheim(T) und Oberlenningen mit einer geringeren Kapazität an SItzplätzen aufgrund fristgemäßen Instandsetzungsarbeiten an Fahrzeugen;<p><strong>An Schultagen werden zusätzliche Busse eingesetzt:</strong></p><ul><li>Von Kirchheim(T) nach Oberlenningen, Abfahrten: 5.16, 6.16, 7.16, 8.16, 9.16, 10.16, 11.16, 12.16 und 13.16 Uhr</li><li>Von Oberlenningen nach Kirchheim(T), Abfahrten: 5.48, 6.48, 7.48, 8.48, 9.48, 10.48, 11.48, 12.48 und 13.48 Uhr</li></ul><p>Bitte beachten Sie die Abfahrts- und Reisezeiten der Busse. Die Busse fahren an den Haltestellen der Linie 177 ab.</p><p></p><p>Bitte prüfen Sie Ihre Reiseverbindung online vor Fahrtantritt. Wir informieren Sie, sobald sich Neuigkeiten ergeben.</p>;RB 64;2025-04-02T05:00:00;2025-07-09T13:48:00;RisDisruptions;Verstärkung RB64 an Schultagen.pdf;weitere Informationen;;isWeek;1;2025-05-13T09:19:10.702688;8001428, 8001205, 8003283, 8004740, 8004553, 8003280, 8005998;2025-05-13T11:20:15.373087
f46d5c82-6c96-4164-89cb-50a39646b72e;Instandhaltungsarbeiten zwischen Stuttgart Hbf und Esslingen(N) sowie Bahnsteigarbeiten in Esslingen-Mettingen;Bis 26. Juli 2025 kommt es zwischen Stuttgart Hbf und Esslingen(Neckar) zeitweise zu Fahrplaneinschränkungen auf der Linie S1. Bitte informieren Sie sich!;"<p><strong>Von Samstag, 3. Mai bis Samstag, 26. Juli</strong></p><ul><li>Die Linie S1 Kirchheim(T) &lt;&gt; Herrenberg verkehrt nur im 30-Minuten-Takt und wird montags bis freitags von 6 Uhr bis 20.30 Uhr sowie samstags von 8.30 Uhr bis 20.30 Uhr durch zusätzliche Fahrten der Linie S11 zwischen Neckarpark und Herrenberg zum 15-Minuten-Takt ergänzt.</li></ul><p><strong>In den Nächten 5./6. Juni und 6./7. Juni, jeweils von 21.00 Uhr bis 5.00 Uhr</strong></p><p>Instandhaltungsarbeiten zwischen Stuttgart Hbf und Esslingen (Neckar).</p><ul><li>Detaillierte Informationen zum Betriebs- und Ersatzkonzept werden zeitnah veröffentlicht.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 1, S 11;2025-04-10T21:00:00;2025-07-26T04:00:00;RisDisruptions;Übersicht Einschränkungen Linie S1.pdf;weitere Informationen;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-05-12/4e36a678-bf21-45a6-b48e-45ea618e786creisendenkarte_20250411-085727.png;;2;2025-05-13T09:19:10.702688;8005772, 8001921, 8005769, 8005775, 8001920, 8006743;2025-05-13T11:20:15.373119
dc684ddd-2e99-4531-84e3-257b61fc52a9;Marbach(N) <> Backnang: Zugausfälle und Ersatzverkehr mit Bussen;Von 12. Mai, 4.00 Uhr bis 17. Mai, 4.00 Uhr finden in Kirchberg(Murr) Arbeiten an der Infrastruktur zur Beseitigung der Unwetterfolgen statt. Es kommt zu folgenden Einschränkungen:;"<ul><li><strong>Die Züge des S4-Pendel Marbach(N) &lt;&gt; Backnang fallen zwischen Marbach(N) und Backnang komplett aus.</strong></li><li>Zwischen Marbach(N) und Backnang verkehrt ein <strong>Ersatzverkehr mit Bussen (S4E).</strong></li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 4;2025-05-12T04:00:00;2025-05-17T04:00:00;RisDisruptions;Fahrplan S4E Backnang - Marbach.pdf;weitere Informationen;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-04-22/9d080eff-3936-4467-83e9-c04e97d4dd39reisendenkarte_20250411-155909.png;;2;2025-05-13T09:19:10.702688;8003853, 8000016, 8001296, 8003266, 8001827;2025-05-13T11:20:15.373156
e286bbb9-aefc-49d0-b404-4213636c5dc6;Waiblingen <> Backnang: Zugausfälle und Ersatzverkehr mit Bussen;In den Nächten von 23.Mai bis 13.Juni - jeweils 21 bis 5 Uhr - finden zwischen Backnang und Waiblingen Kabelarbeiten statt.;"<ul><li><strong>S3 </strong>zwischen Waiblingen und Backnang entfällt<strong>.</strong></li><li>Zwischen Waiblingen und Backnang fährt ein <strong>Ersatzverkehr mit Bussen (S3E).</strong></li></ul><p>Bitte beachten Sie, dass es im genannten Zeitraum aufgrund von Baustellen zu weiteren Fahrplanabweichungen auf der Linie S3 sowie im Gesamtnetz der S-Bahn Stuttgart kommt.</p><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 3;2025-05-23T21:00:00;2025-06-13T05:00:00;RisDisruptions;Fahrplan S3E Waiblingen -Backnang.pdf;weitere Informationen;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-05-09/0bc9e6d2-7d17-4b25-9672-27f6da78e955reisendenkarte_20250506-153659.png;isInTimeInterval;2;2025-05-13T09:19:10.702688;8005454, 8004333, 8004233, 8003913, 8006479, 8000180, 8000016;2025-05-13T11:20:15.373181
6ca2d2c1-f0cc-4167-b7f6-f6f068cdd96f;Ludwigsburg -> Bietigheim: Haltausfälle und Ersatzverkehr mit Bussen ;Am 25. Mai, 1 bis 4 Uhr, finden zwischen Tamm und Bietigheim Stopfarbeiten statt. ;"<ul><li><strong>S5 in Richtung Bietigheim hält nicht in Asperg und Tamm.</strong></li><li>Zwischen Ludwigsburg und Bietigheim fährt ein <strong>Ersatzverkehr mit Bussen (S5E).</strong></li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 5;2025-05-25T01:00:00;2025-05-25T04:00:00;RisDisruptions;Fahrplan S5E Ludwigsburg - Bietigheim.pdf;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-05-12/0cfa3a1c-3483-4249-8657-a513e7745da0reisendenkarte_20250512-083015.png;isInTimeInterval, isWeekend;2;2025-05-13T09:19:10.702688;8000630, 8005820, 8000235, 8000038;2025-05-13T11:20:15.373207
5bdcdaad-7151-4f2a-985f-6cf9c28be3bd;Waiblingen <> Schorndorf: Totalsperrung und Ersatzverkehr mit Bussen;Am 25. Mai, 3.30 bis 24 Uhr, finden zwischen Waiblingen und Schorndorf Arbeiten an der Leit- und Sicherungstechnik statt.;"<ul><li><strong>S2 entfällt zwischen Waiblingen und Schorndorf.</strong></li><li>Zwischen Waiblingen (ZOB Halteplatz 11) und Schorndorf (Bahnhof, Halteplatz 1) fährt ein <strong>Ersatzverkehr mit Bussen (S2E)</strong> mit allen Unterwegshalten.</li><li>Bitte beachten Sie die früheren Abfahrtszeiten der Busse in Schorndorf und die längeren Fahrtzeiten der Busse. Wählen Sie gegebenenfalls eine frühere Verbindung.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 2;2025-05-25T03:00:00;2025-05-25T23:55:00;RisDisruptions;Fahrplan S2E Waiblingen - Schorndorf.pdf;weitere Informationen;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-04-30/7c0275af-7406-473f-9e40-5b51a042062ereisendenkarte_20250325-125520.png;isWeekend;2;2025-05-13T09:19:10.702688;8006485, 8002240, 8000934, 8005726, 8005157, 8006277, 8001785, 8002448, 8000180, 8005424;2025-05-13T11:20:15.373229
90c06c29-a645-4a2c-9b3b-04f6fd4a83a0;Stuttgart Hbf <> Filderstadt: Zugausfälle und Ersatzverkehr mit Bussen.;Von Samstag, 31. Mai, 01.00 Uhr bis Montag, 2. Juni, 4.00 Uhr finden im Bahnhof Stuttgart-Vaihingen umfangreiche Bauarbeiten statt. Es kommt daher zu folgenden Einschränkungen auf den Linien S1, S2 und S3 zwischen Stuttgart Hbf und Filderstadt:;"<ul><li><strong>S1</strong> fällt zwischen Stuttgart Schwabstraße und Stuttgart-Vaihingen aus.</li><li><strong>S2 </strong>fällt zwischen Stuttgart Hbf (tief) und Filderstadt aus. Die S2 verkehrt nur zwischen Stuttgart Hbf (oben) und Schorndorf.</li><li><strong>S3</strong> fällt zwischen Stuttgart-Bad Cannstatt und Stuttgart-Vaihingen bzw. Flughafen/Messe aus.</li><li>Die Linien S1, S2 und S3 verkehren am Samstag, 31. Mai nur im 30-Minuten-Takt.</li></ul><p><strong>Ersatzverkehr mit Bussen:</strong></p><ul><li><strong>SEV1 Stuttgart Hbf, Arnulf-Klett-Platz &lt;&gt; Stuttgart-Vaihingen, Bf/ZOB</strong> im 10-Minuten-Takt.</li><li><strong>S2E </strong>Stuttgart-Vaihingen, Bf/ZOB &lt;&gt; Filderstadt mit allen Unterwegshalten im 30 bzw. 60-Minuten-Takt.</li><li><strong>S2X Direktbus </strong>Stuttgart-Vaihingen, Vollmoellerstraße &lt;&gt; Flughafen/Messe, SAB im 30-Minuten-Takt ohne Unterwegshalt.</li></ul><p><strong>Reisealternativen:</strong></p><ul><li>RE14 Stuttgart Hbf &lt;&gt; Freudenstadt/Rottweil mit Zusatzhalt in Stuttgart-Vaihingen</li><li>Stadtbahn-Linie U6 von/nach Flughafen/Messe.</li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 1, S 2, S 3;2025-05-31T01:00:00;2025-06-02T04:00:00;RisDisruptions;"Fahrplan Ersatzverkehr S2X.pdf; Fahrplan Ersatzverkehr S2E.pdf; Fahrplan Ersatzverkehr SEV1.pdf";weitere Informationen;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-05-06/4ac56fca-f702-44ce-8ed1-7332777752d9reisendenkarte_20250403-153836.png;;2;2025-05-13T09:19:10.702688;8005776, 8005779, 8006513, 8003622, 8006700, 8006699, 8005773, 8005768, 8001984, 8006698, 8001650, 8004496, 8098096, 8005769;2025-05-13T11:20:15.373255
d44f178d-899f-4eb1-ade5-2e34a2b2f822;Böblingen <> Herrenberg: Zugausfälle und Ersatzverkehr mit Bussen;In der Nacht 8./9. Juni, 22 bis 8 Uhr, finden Bauarbeiten im Bereich Böblingen statt.;"<ul><li><strong>S1 </strong>zwischen Herrenberg und Böblingen entfällt. <strong>Ausnahme</strong>: Züge mit Abfahrt in Böblingen um 5.29 Uhr und 6.29 Uhr sowie in Herrenberg um 6.46 Uhr verkehren regulär.</li><li>Zwischen Herrenberg und Böblingen fährt ein <strong>Ersatzverkehr mit Bussen (S1E).</strong></li></ul><p>Bitte berücksichtigen Sie diese Abweichungen bei Ihrer Reiseplanung und informieren Sie sich vorab über Ihre Reiseverbindungen. Um keine kurzfristigen Änderungen zu verpassen, informieren Sie sich bitte auch unmittelbar vor Fahrtantritt in den digitalen Reiseauskunftsmedien unter&nbsp;bahn.de&nbsp;oder in der App DB Navigator.</p>";S 1;2025-06-08T21:00:00;2025-06-09T08:30:00;RisDisruptions;Fahrplan S1E Böblingen - Herrenberg.pdf;;https://assets-ri.extranet.deutschebahn.com/regio_sbahn_stuttgart/2025-05-12/3eba01e5-7f6d-47b7-9a23-e1030af25558reisendenkarte_20250331-140654.png;;2;2025-05-13T09:19:10.702688;8003022, 8004490, 8002165, 8001055, 8001689, 8002785;2025-05-13T11:20:15.373329
